"心理学,童年心理",如何用心理学理论分析童年时语言暴力事件对成年行为的影响？,只是突然想到这件事，但记忆非常深刻，以至于可以保证以下细节没有任何刻意加工。 小学三年级，下午上学时，在校外买了一袋彩纸，就是美工课用的那种。前往教学楼时路过小摊，馋了，欲买零食。摊主阿姨30岁左右，见我手中拿着彩纸，问我为什么不在她小摊上买彩纸，我当时说了句“这是我的自由。”（我一直比较胆小怕事，也不知那天怎么突然顶撞这一句。“这似乎激怒了她，阿姨一脸不屑：“还谈自由！恐怕你在班上是个很坏的学生…
"心理学,理论,认知心理学,发展趋势",当代心理学的各种最前沿的理论是什么，未来的发展趋势会是怎样的？,每次看到课本或论文中对各种心理学流派的评价，总是会提及其缺陷和错误。那么，到目前为止，最被心理学家公认的各种理论是什么呢？从这些理论出发，心理学未来的发展趋势会是怎样的？
"人脸识别,计算机视觉,深度学习（Deep Learning）,SenseTime",如何看待Linkface被SenseTime收购？,如题
"心理学,颜色",为什么色彩能让人对时间感发生变化？,比如在红色等暖色系的环境里感觉时间很漫长？在冷色系的环境感觉时间过得很快？ 
"心理学,心理咨询,人生感悟",在已有的咨询经验当中，有没有一次让你很触动或者是让你自己也感觉到了一次和来访者的共同成长？,在已有的咨询经验中，有没有一次是对你触动比较大的，让你思考了很多然后获得了成长。亦或是自己咨询经验中让自己觉得可以写上一笔作为一个自己咨询的里程碑的事件呢？（若是涉及具体个例，请以保密原则为准，模糊处理）
"心理学,心理咨询",在talkspace上接受心理咨询是怎样一种体验？,最近发现了一个新奇玩意，是一个英语线上心理咨询平台。 目前正在和朋友讨论这玩意是否可行有效。 官网：
"艺术,心理学,文化差异,艺术史论,装饰艺术史",中国人对于“装饰”本身的理解与西方有何不同？,
"心理咨询,心理咨询师,心理咨询伦理",独立执业的咨询师在遭遇纠纷时，该如何保障自己的权益？,
"电影,心理学,心理咨询,心理医生,心理咨询师",电影《素媛》中的心理咨询师在对素媛进行治疗时，用的是什么心理疗法？,看了素媛感触很深，特别想弄清楚里面的心理疗法，进一步进行了解，谢谢各位
"心理学,认知科学",社会认知神经科学有哪些有良好发展前景的新领域？,"UCL 的 Uta Frith 有一篇关于社会认知神经科学的综述（Social cognitive neuroscience:
where are we heading? )，这篇文章中提到社会认知神经科学一些新领域，包括三个方面：动作理解（understaqnding others’ action）、心理理论（understanding others' minds)、情绪理解(understanding others' emotion)等等... 不过这是 04 年的文章了，过去十年间，这些领域都发展得如何了？又出现了哪些有良好前景的新的领域？"
"喜剧,戏剧,音乐剧,百老汇,南方公园",如何评价音乐剧《摩门之书》（“Book of Mormon”）？,《摩门之书》是《南方公园》两位主创与人合作的一部搞笑音乐剧，获奖无数。主要剧情就是两位摩门教的传教士到非洲传教时发生的各种好玩事。
"心理学,实验心理学",心理学实验的被实验者们后来怎么样了？,比如华生的小艾尔伯特实验，小艾尔伯特在被人抱养后是否像正常的孩子一样成长？实验给他带来的影响（比如看到什么动物就害怕）后来有没有消除？ 又比如津巴多模拟监狱实验，大学生们后来是否有心理阴影？ 如果上面的都有影响的话，从社会伦理上讲试验的策划者是不是有过错或责任？
"电影,好莱坞（Hollywood）,编剧,科恩兄弟 (Coen Bros)",科恩兄弟的《血迷宫》（Blood Simple）遵循了哪些规矩？,"问题来自一篇博客： Blood Simple 
不能算多完美的作品，放到影史上本身或许都没啥意义，它显得做作，不自然，很多刻意的地方。但是，这不妨碍它精采，因为它的精采很大程度上也是因为这种刻
意。作为有点致敬式的作品，它就像是一个命题作文，定好了框框和规矩，看你在里面能跳多好。如果你不按规矩来，就算是多合理，多精彩，总就是偷懒耍赖了。 ——, 下文只说到『道德准则』一点，显然这部电影不止于此，我…"
"电影,投资,好莱坞（Hollywood）,华谊兄弟,电影产业",华谊兄弟投资好莱坞制片公司是在做怎样的战略布局？, 相关 »
"电影,广播电视,电影审查",国家广电局成立之前是如何对电影进行审查的？审查形式和尺度跟现在有何异同？,1986年，中华人民共和国国务院将文化部电影事业管理局与中华人民共和国广播电视部合并为中华人民共和国广播电影电视部。1998年6月25日，国务院组成部门广播电影电视部（广电部）被改组为正部级国务院直属机构国家广播电影电视总局（广电总局）。 请知情人士比较一下。
"电影,电影院,电影产业",中国政府在 2014 年对影院进行税收减免会带来哪些改变？,
"心理学,大脑,神经科学,脑科学,进化生物学",从心理与脑的关系来看，大脑功能偏侧化有什么意义？,我在尹文刚的神经心理学的教材上看到的一道思考题。那个章节前面大致介绍了左右脑解剖结构的差别、与结构差别对应的功能偏侧化（左脑继时性活动为主，右脑偏重同时性活动）、两半球协同和对立统一，也讲了偏侧化的种系和个体演进过程。 从种系上看，只有人类才有明显的两半球特意化现象，动物不具备心理和认知功能的偏侧化。 从个体演化历程上看，人的半球偏侧化是一个随个体成长发展的过程。比如脑损伤后的失语，在4岁前发生恢…
"电影,电影产业,电影公司",作为一部电影的投资方，影片公映结束后，收回自己那部分票房的流程是怎样的？,国内外有什么区别？
"电影,中国电影",中国影院观众的男女比例可有数据说明？,
"电影,电子商务,电影营销公司",电商和电影营销的合力，具体是如何将三月八日变成一个档期的？体现在哪些细节上？, 背后具体是哪几家电商？他们用的策略有哪些不同？电商和电影营销的共同造势是否可持续发展？
"电影,投资,中国电影市场,2013 年",2013 年的华语影视圈，有哪些值得分享的投资案例？,
"电影,影视",影视从业人士对 2014 年的中国电影市场有哪些预测和期待？,
"电影,独立电影,中国电影",张献民在博客中提出的「抵制非独立电影」，对于中国独立电影，可以起到哪些作用？,- 《抵制非独立电影 》 张献民 作为对昨日 BIFF 停展、停电一事，我个人将采取的两个行动： 1、不再观看任何中影集团出品的电影。 2、不再观看任何 xcb 投资的电影。 直到我个人认为独立电影在此地有了最低限度的良性环境。 也提示别人，或许你也不用观看 xcb 投资的任何电影。 任何朋友观看此类电影并写影评的，一律拉黑。 链接：
"电影,市场营销",关于电影票价，有哪些有价值的研究？,
"电影,字体,名片",电影《American Psycho》攀比名片一段中，各人对字体和纸张的选择到底品位如何？,"That's bone. And the lettering is something called Silian Rail.Egg shell, with Romalian type. What do you think?Raised lettering, pale nimbus... white.Look at that subtle off-white coloring... The tasteful thickness of it... Oh my God, it even has a watermark...Paul Allen 这张让众人自惭形秽，Bateman 更是崩溃了～ 再补上后来 Luis 非常 camp 非常 flaming 的一张： "
"电影,影视评论,电影票房,伍迪·艾伦（Woody Allen）,作者电影",伍迪·艾伦是如何让自己的作者电影获得不错的商业成功的？,不知道总在法国得奖，总有几个性感明星，加上长期培养的一群文艺青年fans，都算不算伍迪·艾伦电影的卖点？还有哪些非电影专业人忽略的成功点？
"电影,文化,电影推荐,影视评论,电影史",「港片范」常指哪些元素？为何说电影《Drive》港片范？非华语电影有哪些受到港片风格影响？,
"电影,新媒体,微博营销,事件营销,推广",电影在新媒体推广方面有哪些技巧？,在新媒体运营方面又有哪些建议呢？ 希望有经验的人结合实操案例来讲一讲，感谢。
"电影,电影产业",如何评价大陆电影的 2014 年暑期档？,
"心理学,大数据",大数据在心理学领域有怎样的应用前景？,
"心理学,神经科学,脑科学,伪科学",如何评价brain.fm？,"问题：, 1.什么是, 2.是否有相应的科学理论或实验研究证明brain.fm能一如该产品所声称般能提高大脑功能 3.未来人工智能制造音乐用于治疗会否普及化 4.(Optional)如果医用音乐在未来越界，这些“音乐”在脑科学(神经科学)听觉方向理论上能令人们在无型中(无视觉征兆下)做出什么古怪有趣的事情 某网上资料声称： BrainFM 是一款非常小众而又饱含了心理学研…"
"心理学,认知心理学,实验心理学",国内哪些大学的心理学实验室比较有名？,听老师说起过北师大与上师大的心理学实验室，据说设备很全……于是想想问问国内高校中，有哪些比较有名的心理学实验室？什么方面的成果出得比较多呢？
"电影,导演,影评人,影视评论,电影史",电影史上，有哪些导演是由影评人转型而来？,
"心理学,科研,研究生,研究所,心理学职业发展",对心理学相关专业来说，在高校和在研究所读研有什么不同？如何衡量怎样的选择更适合自己？,
topics,title,desc
"电影,电影摄影,第 86 届奥斯卡金像奖",《地心引力》在摄影技术上有哪些建设性的意义？,《地心引力》获得第 86 届奥斯卡最佳摄影奖。
"电影,小说,X 的有趣故事,香港电影,脑洞",“九龙皇帝”能够延伸出什么样的故事？,1951年，香港发生了一件不大不小的事。仿佛某天醒来，大家突然发现，墙上、垃圾桶上、灯柱上、电箱上，密密麻麻的全是字。而写字的人，是香港著名的疯子，“九龙皇帝”——曾灶财。 曾灶财16岁定居香港，先后做过建筑工和垃圾工，不料却在工作中压伤了腿，从此变得一瘸一拐。皇帝是曾灶财的自封，很多人笑他：居然还想在那个时代称帝！但他做这个决定，并不是空穴来风。三十多岁时，他的房子被港英政府强拆。这种强权，让曾灶财…
"电影,剪辑,分镜头剧本",分镜头如何影响电影的质量？,经常看到影评里面强调某部电影的分镜头运用很多，并且说这个如何提高了电影的等级。很好奇为什么分镜头会对一部电影有如此大的影响。以及为什么分镜头多了电影就会好呢
"电影,市场营销,电影产业,中国电影市场,电影营销公司",2013 年中国电影在营销上有哪些可值得分享的案例？,并请简述该案例的亮点，包括策划、执行、反馈总结...
"电影,招聘",如何看待互联网大公司（如 BAT）在影视业的布局？,营销公司工作3年，也带过不错的项目，有些瓶颈；近期参加了一些互联网电影公司的面试，大家给些意见，阿里、爱奇艺、优酷……常规的几家都比较熟悉啦
"电影,动画,皮克斯 (Pixar Animation Studios),好莱坞（Hollywood）,迪士尼（Disney）",迪士尼关闭皮克斯加拿大分部的深层原因是什么？, > 迪士尼今年 4 月关闭卢卡斯游戏工作室之后，董事会最近又关闭了皮克斯加拿大分部，此举造成超过 100 人失业 [...] 皮克斯加拿大分部是皮克斯设立在温哥华的分公司。其主要工作和职责就是制作以皮克斯人物为主角的动画短片。该分部创立于 2009 年 [...] 迪士尼的发言人在当地早些时间发表声明称：「这是董事会作出的决定，目的在于进行结构性的调整。虽然这并不是什么好新闻，但这是我们…
"电影,剧本,电影剧本,剧本创作",剧本的不同版本为什么用颜色来标记？,"初学写剧本，从网上下载了几个好莱坞的剧本，发现两个问题在网上搜索不到答案，应该是比较初级的问题。 1， 剧本的修定版本用的是颜色来标记，比如 ""42"" 这部影片里，颜色从white到tan做循环。 2，场景序列的标记，按顺序是1,2，3,4，5这样的，但是中间还会有1,2，3,3A，4,4A，5 这种，不知道是出于什么原则要这样标记。 网上找不到答案，不得已向知乎求助。"
电影,目前国内运作一部电影是怎么融资的，整个完整的融资流程是怎样的?风险怎么控制？,好莱坞因为有整个非常完整科学的产业链，所以不管电影投资规模多大都能按时按需把资本和项目无缝对接起来，不知道国内时下比较流行的对接电影和资本的模式是什么？银行？或者富有的个人和机构？
"电影,演员,表演",有哪些知名电影演员主要用表现派（布莱希特体系）表演？,似乎用方法派（体验派/斯特尼斯拉夫斯基体系）的演技大神比较多？比如罗伯特德尼罗、阿尔帕西诺、杰克尼克尔森、丹尼尔戴刘易斯、梅丽尔斯特里普…… 表现派题主只知道朱迪丹奇。 想知道还有哪些人是表现派门生 问这个问题主要是很想求证一下当今方法派在表演方式上占据主流地位？
"电影,好莱坞（Hollywood）,电影制作,电影产业",中国资本进入好莱坞，对中国电影市场自身与电影制作有哪些方面的意义？, 据外媒报道，华谊兄弟拟向一家好莱坞制片公司投资数亿美元，进军好莱坞。美国华纳兄弟公司电影业务的前负责人杰夫·罗宾诺夫目前正在组建一家新的电影制片公司，知情人士透露华谊兄弟正联合一些金融家向这家公司投资数亿美元，每年制作电影的数量大约为五部左右。如果交易最终达成，这将是中国企业对好莱坞制片商的最大一笔投资。
"旅游,定制旅游,6人游旅行网",6人游旅行网这种以“小团定制旅游”的业务模式的发展前景怎么样？,
"上海,城市生活,地铁,城市规划,公共交通",重建一个城市的地铁网络是可能的吗？,假设1.一个城市的地上基础设施建设和城市化的进程，经过上百年的发展，已经偏移出目前的地下铁路网络，导致部分线路荒废，那么彻底废掉一条线路的某一段是否科学？ 假设2.或者当前的建设与地铁的网络布局并不合拍（虽然这不太可能），那么是否可以调整既有的地铁线路？ 假设3.目前已经在运营的地铁线路不合理，需要调整，是否可以实现铁轨的空间的平移？ 假设4.以上海地铁的换乘为例，某些大站需要步行很长时间换乘，小站也需要…
"旅行,阿拉斯加",去过阿拉斯加 Whittier 小镇的人有哪些感受？,
"电影,旅行,班夫山地电影节",班夫电影里那些旅行者攀岩者所使用的记录设备都有那些，这些设备有哪些讲究？,他们所拍摄的视频能否达到电影放映的要求，或许这个不重要，但有那些好点的设备可以达到电影放映的标准。还有录音设备，可以推荐几款吗？
电影,国外的电影基金投资并运作国内电影，难点主要在哪里？,
"电影,好莱坞（Hollywood）,导演,制片人",现在的好莱坞制片流程中，制片人和导演的控制力各自体现在哪里？,
"心理学,电视节目,真心话大冒险,真人秀",美国电视节目《真心话大冒险（The Moment of Truth）》反映的是怎样的心理机制？,最近在微博上有一个关于美国电视节目the moment of truth的讨论，看完后除了震惊以外有两个方面的困惑。第一，这个节目到底挑战的是人对于什么的心理底线？第二，从电视节目的角度上说，这档节目已经显示出美国电视在娱乐至死上已经真正走上了一条不归路，这档电视节目以出卖隐私、挑战人际关系，以揭露人对金钱的态度为噱头，造成很大的影响力，人们对这档节目的关注又是出于什么心理？参与者又是什么心理？节目的策划者到底想…
"电影,CG,电影产业,倒闭,水晶石",如何看待大陆 CG 业巨头水晶石的倒闭传闻？,
"去哪儿（Qunar）,在线旅游",去哪儿为什么成立「目的地服务事业部」，对它的业务会有什么帮助吗？,目的地服务现在在去哪儿的发展如何？在公司的业务中占有的比重如何？
"美食,旅行,米其林餐厅",如何看待携程最近推出的「食美林」评选？,
"旅游,商业模式,酒店,商业",为什么酒店的某些服务收费贵到甚至给客人不悦之感？,由于出差，经常住在酒店，或在酒店进行各种会议，发现有不少高星级的酒店，商务中心的收费非常高，A4 黑白打印 5 元/张，彩色 10 元/张，而上网也是，3 元/分钟（不是商务中心而是客房，如住过某地的凯悦，万豪和 IHG 注册会员就可以免费），等等。 高星级的酒店就是求一个舒服，本来收费就不便宜，住店的人其实对价格反而不会特别敏感。但上述的这类型收费，我个人感觉还是非常的暴利。这可能是纯粹的供需严重不平衡所引发的，…
旅游,请问世界顶级的奢华游公司有哪几个？类似A&K的那种,
"经济学,金融",阿根廷经济现状如何？为什么会出现利率上升到 40% 以上的现象？对国际市场有何影响？,阿根廷国内通货膨胀，资金成本高，货币呈贬值状态，热钱流出。
"银行,信托,金融,同业拆借,买入返售",银行信托受益权买入返售六种模式的疑问？, 文中提到的第二种模式：三方协议模式，丙方承诺远期受让信托受益权而让B银行（乙方）来作为实际的出资方受让A银行的单一信托的受益权，为什么不直接采用模式一的抽屉协议暗保模式，这样不是更加节约成本嘛？
"风险控制,银行业,金融",工行是如何实现交易业务事前风险控制的？, 该行通过计算机系统构建模型，在交易前对关键风险指标进行合规检查和系统硬控制，在内部金融市场交易管理平台与外部系统之间建立起风险防控机制，达到了在基本不影响金融市场交易效率的前提下，事前进行风险管控的效果。 感觉说的很笼统，不知道有没有业内人士来说的具体和通俗一些呢？是如何实现事前风险控制的？ 其他国际大行，如 JP Morgan ，Wells Fargo 有没有…
"经济,银行,财务,会计,金融",中信银行向股东申请核销52亿不良贷款，按比例中信集团分摊34亿，44位股东均赔8000万，具体怎么销掉的？,
"X 是谁,经济,生活经历,金融,金融业",Oleg Vodnik 是什么人？有什么经历？,很好奇，这个人很博学
"法律,美国证券交易委员会 (SEC)",通过向 SEC 告密获酬的产业在中国有多大？,"美国证券交易委员会每周就能获得一条来自中国的举报，这一频率是前年的两倍，更是2011年的五倍之多。对信息提供者来说，告密的吸引力在于占罚金高达30%的回报。去年，华尔街的一名告密者获得了1400万,的赏金。 德克萨斯州奥斯汀的律师 Jason Coomer 运营者一家小型律所，他还有一个中文网站专门为告密者提供服务。在过去两年间，他的律所接收了来自中国的25份举报报告，现在正在向 SEC 送交两个案子。 via "
"宽客 (Quant),Scala,对冲基金,Two Sigma Investments",twosigma开源的flint库有啥干货？,
"上海,金融,中国（上海）自由贸易试验区‭",央行出台的《关于金融支持中国（上海）自由贸易试验区建设的意见》都传递出了哪些有价值的信息？,
"金融,证券投资,光大证券,光大证券乌龙指事件",「光大增持期指空头」会让光大证券盈利吗？,
"经济,金融,第三次量化宽松 (QE3)",美国 QE3 会对中国经济和金融市场带来什么影响？,北京时间9月14日凌晨，美联储宣布推出进一步量化宽松政策(QE3)，每月采购400亿美元的抵押贷款支持证券(MBS)， 0-0.25%超低利率的维持期限将延长到2015年中， 现有扭曲操作(OT)等维持不变。
